"","kingdom","phylum","class","order","family","genus","species"
"834","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Torula","unidentified"
"835","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Torulaspora","unidentified"
"836","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","unidentified"
"837","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Triangularia","Triangularia phialophoroides"
"838","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Calloriaceae","Tricellula","Tricellula aurantiaca"
"839","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma aerugineum"
"840","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","unidentified"
"841","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma atroviride"
"842","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma citrinoviride"
"843","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma compactum"
"845","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma tomentosum"
"846","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Trichomonascus","Trichomonascus ciferrii"
"847","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified"
"850","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Truncatella","Truncatella laurocerasi"
"851","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","unidentified"
"852","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Tubeufia","Tubeufia cerea"
"853","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Tubeufia","Tubeufia helicomyces"
"854","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Tulostoma","Tulostoma brumale"
"856","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Typhulaceae","Typhula","Typhula incarnata"
"857","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Tyrannosorus","Tyrannosorus hystrioides"
"858","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis dimorpha"
"859","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","unidentified"
"860","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","unidentified","unidentified","unidentified"
"861","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Veronaeopsis","Veronaeopsis simplex"
"862","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Verrucaria","Verrucaria viridula"
