"","kingdom","phylum","class","order","family","genus","species"
"663","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","unidentified"
"664","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Valsaceae","Phomopsis","unidentified"
"665","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Phyllostictaceae","Phyllosticta","Phyllosticta sojicola"
"667","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia fermentans"
"668","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia kluyveri"
"669","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia kudriavzevii"
"670","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia membranifaciens"
"671","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","unidentified"
"672","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","unidentified"
"675","Fungi","Ascomycota","Sordariomycetes","Calosphaeriales","Pleurostomataceae","Pleurostoma","Pleurostoma richardsiae"
"676","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Pochonia","unidentified"
"677","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Podospora","unidentified"
"683","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Polyblastia","Polyblastia abscondita"
"685","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Polytolypa","Polytolypa hystricis"
