"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Astraeaceae;g__Astraeus;s__telleriae",0,0,0,0,0,0,0,1668,2075,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__rubescens",0,0,0,0,0,0,0,0,0,0,0,0,0,56,58,13,0,1429,0,0,0,0,328,0
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;unidentified",0,5,0,7,12,0,170,141,1273,33,120,47,1226,169,40,51,41,49,3,46,35,4,2,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mytilinidales;f__Gloniaceae;unidentified;unidentified",77,652,837,376,253,20,949,218,320,20,7,59,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__globispora",0,0,0,0,0,0,0,72,0,1443,0,0,0,0,0,0,0,0,1228,2560,0,0,22,293
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__changbaiensis",681,23,279,14,982,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__aeria",153,704,429,422,127,121,19,8,48,31,98,0,0,0,0,0,0,0,0,16,15,0,22,24
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Byssocorticiaceae;g__Byssocorticium;s__atrovirens",0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,1169,1516,15,17,0,0,0,0
"k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Humaria;s__hemisphaerica",0,0,0,0,0,0,0,5,0,1399,0,0,0,80,1541,17,42,0,0,0,0,23,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__subcucurbitae",44,204,427,413,196,173,46,9,17,3,17,0,0,5,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Meliniomyces;unidentified",103,0,3,2,72,380,281,33,14,4,202,46,146,460,296,25,516,366,0,4,6,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__grisea",0,1344,0,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;unidentified;unidentified;unidentified;unidentified;unidentified",118,496,355,240,117,324,439,543,323,202,606,244,666,91,484,73,87,55,156,7,155,138,36,110
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Hydnum;s__ibericum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__romellii",0,0,0,0,0,0,0,0,0,0,0,0,0,305,607,1244,4,241,0,0,1805,0,6,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__trivialis",0,0,0,0,0,0,0,0,13,0,1468,414,0,0,417,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrophorus;s__yukishiro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,0,42,3
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Bankeraceae;unidentified;unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,794,0,0,662,0,0,0,0,0,0,0
"k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;unidentified;unidentified",53,118,174,328,83,167,341,15,71,35,151,4,0,4,0,0,93,14,0,0,35,19,4,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrophorus;s__cossus",0,0,0,0,0,0,0,43,178,0,391,321,1558,0,0,87,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__violacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438,32,0,0,51,423
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;unidentified",9,0,0,0,0,3,0,0,0,0,0,0,1359,12,17,0,14,0,0,0,0,63,9,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__livido-ochraceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__polymorpha",36,95,192,350,316,266,24,0,10,45,46,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__atropurpurea",187,0,0,0,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Filobasidiella;unidentified",170,1059,438,116,424,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__castaneopallidus",0,0,0,0,0,0,0,0,0,2599,0,0,0,0,0,0,0,0,0,0,0,72,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Pyrenophora;s__novozelandica",0,0,0,0,41,23,166,0,1050,0,0,0,0,0,16,0,0,5,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;unidentified;unidentified;unidentified",214,1390,1126,1255,1263,221,1313,441,731,264,1076,257,560,1627,1091,272,534,736,127,532,36,43,44,34
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Auxarthron;s__umbrinum",57,119,175,84,359,498,0,0,0,10,47,0,5,6,7,34,20,57,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__tricinctum",144,244,82,397,405,144,69,105,37,270,177,29,0,0,14,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Geomyces;unidentified",249,145,1256,175,346,664,0,23,0,24,671,0,0,0,0,6,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Thelebolaceae;g__Thelebolus;unidentified",0,0,3,1550,64,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__minima",942,100,289,27,1164,190,0,0,0,0,0,0,0,0,0,0,0,0,21,62,0,115,39,11
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia;unidentified",88,508,579,285,42,74,477,170,424,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hydnangiaceae;g__Laccaria;s__araneosa",0,0,0,0,0,0,0,920,21,0,164,28,45,5,0,39,0,24,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Geopora;unidentified",0,0,0,0,0,0,506,0,559,0,0,558,0,17,8,0,0,10,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Chaetomellaceae;unidentified;unidentified",0,0,0,0,0,0,0,0,4,0,0,0,1233,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Hydnum;s__repandum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__vinosobrunnea",0,0,0,0,0,0,0,0,0,0,0,0,1097,256,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellaceae;g__Cantharellus;s__anzutake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,237,7,267,3,22
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenales_fam_Incertae_sedis;g__Spiromastix;unidentified",72,126,833,87,6,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__flanaganii",20,64,34,1426,510,263,15,19,236,15,129,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Paracladophialophoraceae;g__Paracladophialophora;s__carceris",0,15,26,227,81,271,135,204,128,309,200,21,280,0,66,44,113,0,102,56,26,33,44,48
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Cuphophyllus;s__virgineus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,0,0,23,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria;unidentified",118,116,253,105,155,96,0,80,0,24,0,11,6,7,15,28,7,7,57,90,23,22,58,26
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;unidentified",26,0,18,0,3,13,39,529,394,90,850,277,0,70,14,0,0,0,0,119,0,5,0,102
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;unidentified;unidentified;unidentified;unidentified",17,143,272,58,0,65,72,282,101,11,46,35,80,255,50,216,297,283,0,0,143,30,10,0
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis;s__nigrescens",105,55,13,0,307,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Thelephora;s__terrestris",0,0,0,0,0,0,1110,0,0,0,0,0,0,247,8,0,0,0,0,0,0,0,0,0
"k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__trigonospora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,0,0,132,0
